district,total_population,senior_population,senior_percentage,area_degrees,senior_density_per_deg,area_km2,senior_density_per_km2
Batu Pahat,495.3,178.0,35.93781546537452,0.1594333546499992,1116.45395902733,1969.63966334609,0.0903718600475417
Batu Pahat,497.2,178.0,35.80048270313757,0.1594333546499992,1116.45395902733,1969.63966334609,0.0903718600475417
Batu Pahat,497.5,178.0,35.77889447236181,0.1594333546499992,1116.45395902733,1969.63966334609,0.0903718600475417
Batu Pahat,504.0,178.0,35.31746031746032,0.1594333546499992,1116.45395902733,1969.63966334609,0.0903718600475417
Batu Pahat,510.4,178.0,34.87460815047022,0.1594333546499992,1116.45395902733,1969.63966334609,0.0903718600475417
Johor Bahru,1711.2,586.7,34.28588125292193,0.0903152356499994,6496.13540592034,1115.7544212200926,0.5258325567363074
Johor Bahru,1715.4,586.7,34.201935408651046,0.0903152356499994,6496.13540592034,1115.7544212200926,0.5258325567363074
Johor Bahru,1723.7,586.7,34.03724546034693,0.0903152356499994,6496.13540592034,1115.7544212200926,0.5258325567363074
Johor Bahru,1761.6,586.7,33.304950045413264,0.0903152356499994,6496.13540592034,1115.7544212200926,0.5258325567363074
Johor Bahru,1800.0,586.7,32.59444444444445,0.0903152356499994,6496.13540592034,1115.7544212200926,0.5258325567363074
Kluang,323.8,103.0,31.80975911056208,0.2327919288000015,442.45520251043735,2875.9114883952184,0.0358147322737929
Kluang,325.3,103.0,31.66308023363049,0.2327919288000015,442.45520251043735,2875.9114883952184,0.0358147322737929
Kluang,323.5,103.0,31.83925811437404,0.2327919288000015,442.45520251043735,2875.9114883952184,0.0358147322737929
Kluang,328.7,103.0,31.33556434438698,0.2327919288000015,442.45520251043735,2875.9114883952184,0.0358147322737929
Kluang,333.8,103.0,30.85680047932894,0.2327919288000015,442.45520251043735,2875.9114883952184,0.0358147322737929
Kota Tinggi,222.4,67.8,30.485611510791365,0.2846621718500003,238.1770628649826,3516.716471034904,0.019279347811638543
Kota Tinggi,223.6,67.8,30.32200357781753,0.2846621718500003,238.1770628649826,3516.716471034904,0.019279347811638543
Kota Tinggi,224.9,67.8,30.14673188083593,0.2846621718500003,238.1770628649826,3516.716471034904,0.019279347811638543
Kota Tinggi,229.3,67.8,29.56825119930222,0.2846621718500003,238.1770628649826,3516.716471034904,0.019279347811638543
Kota Tinggi,233.8,67.8,28.99914456800684,0.2846621718500003,238.1770628649826,3516.716471034904,0.019279347811638543
Kulai,329.5,119.9,36.38846737481032,0.0622618026500002,1925.739295953384,769.1823099381024,0.15587981997356204
Kulai,328.2,119.9,36.53260207190738,0.0622618026500002,1925.739295953384,769.1823099381024,0.15587981997356204
Kulai,329.2,119.9,36.421628189550425,0.0622618026500002,1925.739295953384,769.1823099381024,0.15587981997356204
Kulai,340.3,119.9,35.23361739641493,0.0622618026500002,1925.739295953384,769.1823099381024,0.15587981997356204
Kulai,351.4,119.9,34.12066021627775,0.0622618026500002,1925.739295953384,769.1823099381024,0.15587981997356204
Mersing,78.2,23.4,29.923273657289,0.2301680707499999,101.66483962676222,2843.4963460454987,0.008229305457889122
Mersing,78.8,23.4,29.69543147208121,0.2301680707499999,101.66483962676222,2843.4963460454987,0.008229305457889122
Mersing,79.1,23.4,29.58280657395701,0.2301680707499999,101.66483962676222,2843.4963460454987,0.008229305457889122
Mersing,80.1,23.4,29.21348314606741,0.2301680707499999,101.66483962676222,2843.4963460454987,0.008229305457889122
Mersing,81.1,23.4,28.85326757090013,0.2301680707499999,101.66483962676222,2843.4963460454987,0.008229305457889122
Muar,314.8,111.3,35.35578144853876,0.1127692363999996,986.971301332678,1393.151146485595,0.07989082898920818
Muar,315.8,111.3,35.24382520582647,0.1127692363999996,986.971301332678,1393.151146485595,0.07989082898920818
Muar,314.0,111.3,35.445859872611464,0.1127692363999996,986.971301332678,1393.151146485595,0.07989082898920818
Muar,318.7,111.3,34.9231251961092,0.1127692363999996,986.971301332678,1393.151146485595,0.07989082898920818
Muar,323.3,111.3,34.42622950819672,0.1127692363999996,986.971301332678,1393.151146485595,0.07989082898920818
Pontian,173.3,56.3,32.4870167339873,0.0754796897000005,745.8960181708275,932.4760865538062,0.06037688345239012
Pontian,174.2,56.3,32.31917336394948,0.0754796897000005,745.8960181708275,932.4760865538062,0.06037688345239012
Pontian,173.6,56.3,32.43087557603687,0.0754796897000005,745.8960181708275,932.4760865538062,0.06037688345239012
Pontian,175.8,56.3,32.02502844141069,0.0754796897000005,745.8960181708275,932.4760865538062,0.06037688345239012
Pontian,177.9,56.3,31.646992692523888,0.0754796897000005,745.8960181708275,932.4760865538062,0.06037688345239012
Segamat,197.8,67.4,34.07482305358948,0.2338829134499988,288.17838381515315,2889.3895127612855,0.023326726875113578
Segamat,197.4,67.4,34.14387031408308,0.2338829134499988,288.17838381515315,2889.3895127612855,0.023326726875113578
Segamat,198.2,67.4,34.00605449041373,0.2338829134499988,288.17838381515315,2889.3895127612855,0.023326726875113578
Segamat,201.6,67.4,33.432539682539684,0.2338829134499988,288.17838381515315,2889.3895127612855,0.023326726875113578
Segamat,205.1,67.4,32.86201852754754,0.2338829134499988,288.17838381515315,2889.3895127612855,0.023326726875113578
Tangkak,163.4,58.3,35.67931456548347,0.0791333821000003,736.730801248033,977.6138024634038,0.059635000910477035
Tangkak,164.0,58.3,35.54878048780488,0.0791333821000003,736.730801248033,977.6138024634038,0.059635000910477035
Tangkak,164.6,58.3,35.41919805589308,0.0791333821000003,736.730801248033,977.6138024634038,0.059635000910477035
Tangkak,167.1,58.3,34.88928785158588,0.0791333821000003,736.730801248033,977.6138024634038,0.059635000910477035
Tangkak,169.5,58.3,34.3952802359882,0.0791333821000003,736.730801248033,977.6138024634038,0.059635000910477035
Baling,142.6,56.4,39.55119214586255,0.1248604384000001,451.7043246261734,1542.5258559936012,0.036563406558699496
Baling,144.2,56.4,39.112343966712906,0.1248604384000001,451.7043246261734,1542.5258559936012,0.036563406558699496
Baling,144.9,56.4,38.923395445134574,0.1248604384000001,451.7043246261734,1542.5258559936012,0.036563406558699496
Baling,146.7,56.4,38.445807770961146,0.1248604384000001,451.7043246261734,1542.5258559936012,0.036563406558699496
Baling,148.1,56.4,38.08237677245105,0.1248604384000001,451.7043246261734,1542.5258559936012,0.036563406558699496
Bandar Baharu,44.4,18.3,41.21621621621622,0.0224051302000002,816.7772218525121,276.79297849080245,0.06611439386858613
Bandar Baharu,44.4,18.3,41.21621621621622,0.0224051302000002,816.7772218525121,276.79297849080245,0.06611439386858613
Bandar Baharu,44.7,18.3,40.93959731543624,0.0224051302000002,816.7772218525121,276.79297849080245,0.06611439386858613
Bandar Baharu,45.1,18.3,40.57649667405765,0.0224051302000002,816.7772218525121,276.79297849080245,0.06611439386858613
Bandar Baharu,45.6,18.3,40.131578947368425,0.0224051302000002,816.7772218525121,276.79297849080245,0.06611439386858613
Kota Setar,374.1,169.4,45.28201015771184,0.0341668110499993,4958.027828587855,422.0967837116914,0.4013297578588204
Kota Setar,376.3,169.4,45.01727345203295,0.0341668110499993,4958.027828587855,422.0967837116914,0.4013297578588204
Kota Setar,376.8,169.4,44.95753715498939,0.0341668110499993,4958.027828587855,422.0967837116914,0.4013297578588204
Kota Setar,379.3,169.4,44.661218033219086,0.0341668110499993,4958.027828587855,422.0967837116914,0.4013297578588204
Kota Setar,381.8,169.4,44.36877946568884,0.0341668110499993,4958.027828587855,422.0967837116914,0.4013297578588204
Kuala Muda,545.0,250.3,45.92660550458716,0.0754149591499993,3318.970172776419,931.6764053390913,0.26865551018102823
Kuala Muda,546.3,250.3,45.81731649276954,0.0754149591499993,3318.970172776419,931.6764053390913,0.26865551018102823
Kuala Muda,550.5,250.3,45.4677565849228,0.0754149591499993,3318.970172776419,931.6764053390913,0.26865551018102823
